Value Set Name,Code,Code System
History of Total Colectomy or Colorectal Cancer: G9711,G9711,HCPCS
MIPS 113 Encounter,99201,CPT
MIPS 113 Encounter,99202,CPT
MIPS 113 Encounter,99203,CPT
MIPS 113 Encounter,99204,CPT
MIPS 113 Encounter,99205,CPT
MIPS 113 Encounter,99212,CPT
MIPS 113 Encounter,99213,CPT
MIPS 113 Encounter,99214,CPT
MIPS 113 Encounter,99215,CPT
MIPS 113 Encounter,99341,CPT
MIPS 113 Encounter,99342,CPT
MIPS 113 Encounter,99343,CPT
MIPS 113 Encounter,99344,CPT
MIPS 113 Encounter,99345,CPT
MIPS 113 Encounter,99347,CPT
MIPS 113 Encounter,99348,CPT
MIPS 113 Encounter,99349,CPT
MIPS 113 Encounter,99350,CPT
MIPS 113 Encounter,G0402,HCPCS
MIPS 113 Encounter,G0438,HCPCS
MIPS 113 Encounter,G0439,HCPCS
Performance Met: 3017F,3017F,CPT
Performance Not Met: 3017F-8P,3017F-8P,CPT
MIPS 130 Encounter,90792,CPT
MIPS 130 Encounter,90832,CPT
MIPS 130 Encounter,90834,CPT
MIPS 130 Encounter,90837,CPT
MIPS 130 Encounter,90839,CPT
MIPS 130 Encounter,92002,CPT
MIPS 130 Encounter,92004,CPT
MIPS 130 Encounter,92012,CPT
MIPS 130 Encounter,92014,CPT
MIPS 130 Encounter,92507,CPT
MIPS 130 Encounter,92508,CPT
MIPS 130 Encounter,92526,CPT
MIPS 130 Encounter,92537,CPT
MIPS 130 Encounter,92538,CPT
MIPS 130 Encounter,92540,CPT
MIPS 130 Encounter,92541,CPT
MIPS 130 Encounter,92542,CPT
MIPS 130 Encounter,92544,CPT
MIPS 130 Encounter,92545,CPT
MIPS 130 Encounter,92547,CPT
MIPS 130 Encounter,92548,CPT
MIPS 130 Encounter,92550,CPT
MIPS 130 Encounter,92557,CPT
MIPS 130 Encounter,92567,CPT
MIPS 130 Encounter,92568,CPT
MIPS 130 Encounter,92570,CPT
MIPS 130 Encounter,92585,CPT
MIPS 130 Encounter,92588,CPT
MIPS 130 Encounter,92626,CPT
MIPS 130 Encounter,96116,CPT
MIPS 130 Encounter,96150,CPT
MIPS 130 Encounter,96151,CPT
MIPS 130 Encounter,96152,CPT
MIPS 130 Encounter,97161,CPT
MIPS 130 Encounter,97162,CPT
MIPS 130 Encounter,97163,CPT
MIPS 130 Encounter,97164,CPT
MIPS 130 Encounter,97165,CPT
MIPS 130 Encounter,97166,CPT
MIPS 130 Encounter,97167,CPT
MIPS 130 Encounter,97168,CPT
