Value Set Name,Code System,Code,Code Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolescent Depression Screening,LOINC,73831-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depression Screening,SNOMEDCT,171207006,Depression screening (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depression Screening,SNOMEDCT,428161000000000,Standardized adolescent depression screening tool completed (situation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depression Screening,SNOMEDCT,428151000000000,Standardized adult depression screening tool completed (situation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depression Screening,HCPCS,S3005,"PERFORMANCE MEASUREMENT, EVALUATION OF PATIENT SELF ASSESSMENT, DEPRESSION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depression Screening,ICD9CM,V79.0,Screening for depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Depression Screening,LOINC,73832-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Common Baker's Yeast,SNOMEDCT,34015007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Common Baker's Yeast,SNOMEDCT,419447004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Diphtheria Vaccine,CVX,12,diphtheria antitoxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Diphtheria Vaccine,SNOMEDCT,293108006,Diphtheria and tetanus vaccine adverse reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Diphtheria Vaccine,SNOMEDCT,428000000000000,Anaphylaxis due to diphtheria and tetanus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,106,"diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,110,DTaP-hepatitis B and poliovirus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,120,"diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,130,"Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,20,"diphtheria, tetanus toxoids and acellular pertussis vaccine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,50,DTaP-Haemophilus influenzae type b conjugate vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,SNOMEDCT,219084006,Adverse reaction to tetanus vaccine (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,SNOMEDCT,293108006,Diphtheria and tetanus vaccine adverse reaction (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,SNOMEDCT,428000000000000,Anaphylaxis due to diphtheria and tetanus vaccine (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,SNOMEDCT,428000000000000,"Anaphylaxis due to tetanus, diphtheria and acellular pertussis vaccine (disorder)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,CVX,8,"hepatitis B vaccine, pediatric or pediatric/adolescent dosage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,CVX,104,hepatitis A and hepatitis B vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,CVX,110,DTaP-hepatitis B and poliovirus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,CVX,44,"hepatitis B vaccine, dialysis patient dosage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,CVX,51,Haemophilus influenzae type b conjugate and Hepatitis B vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,SNOMEDCT,428000000000000,Anaphylaxis due to Hepatitis B vaccine (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,SNOMEDCT,434000000000000,Anaphylaxis due to Haemophilus influenzae type b vaccine (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,CVX,120,"diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,CVX,48,"Haemophilus influenzae type b vaccine, PRP-T conjugate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,CVX,49,"Haemophilus influenzae type b vaccine, PRP-OMP conjugate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,CVX,50,DTaP-Haemophilus influenzae type b conjugate vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,CVX,51,Haemophilus influenzae type b conjugate and Hepatitis B vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,RXNORM,798271,HPV Vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,RXNORM,1597099,HPV Vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,CVX,118,"HPV, bivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,CVX,137,"HPV, unspecified formulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,CVX,165,HPV9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,CVX,62,"HPV, quadrivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Inactivated Polio Vaccine,CVX,10,"poliovirus vaccine, inactivated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Inactivated Polio Vaccine,CVX,110,DTaP-hepatitis B and poliovirus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Inactivated Polio Vaccine,CVX,130,"Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Inactivated Polio Vaccine,SNOMEDCT,293117006,Poliomyelitis vaccine adverse reaction (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to influenza vaccination,SNOMEDCT,294649000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to influenza vaccination,SNOMEDCT,294648008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to influenza vaccination,SNOMEDCT,294647003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,163,"meningococcal B vaccine, recombinant, OMV, adjuvanted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,162,"meningococcal B vaccine, fully recombinant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,164,"meningococcal B, unspecified formulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,103,meningococcal C conjugate vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,148,Meningococcal Groups C and Y and Haemophilus b Tetanus Toxoid Conjugate Vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,167,meningococcal vaccine of unknown formulation and unknown serogroups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,SNOMEDCT,294665004,Meningococcal polysaccharide vaccine allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,RXNORM,108542,Meningitis vaccine ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,3,"measles, mumps and rubella virus vaccine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,94,"measles, mumps, rubella, and varicella virus vaccine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,5,measles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,7,mumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,6,rubella vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,38,rubella/mumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Neomycin,SNOMEDCT,292927007,Adverse reaction to neomycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Neomycin,RXNORM,866042,Neomycin sulfate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Pneumococcal Conjugate Vaccine,SNOMEDCT,293116002,Pneumococcal vaccine adverse reaction (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Pneumococcal Conjugate Vaccine,CVX,100,"pneumococcal conjugate vaccine, 7 valent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Pneumococcal Conjugate Vaccine,CVX,133,"pneumococcal conjugate vaccine, 13 valent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Pneumococcal Conjugate Vaccine,CVX,33,"pneumococcal polysaccharide vaccine, 23 valent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Polymyxin,SNOMEDCT,292992006,Adverse reaction to polymyxin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Streptomycin,SNOMEDCT,292925004,Adverse reaction to streptomycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Td/Tdap Vaccine,CVX,9,"Td (adult), adsorbed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Td/Tdap Vaccine,CVX,113,Td (adult) preservative free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Td/Tdap Vaccine,CVX,115,Tdap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Td/Tdap Vaccine,CVX,138,Td (adult),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Td/Tdap Vaccine,CVX,139,Td(adult) unspecified formulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Td/Tdap Vaccine,SNOMEDCT,428000000000000,"Anaphylaxis due to tetanus, diphtheria, and pertussis vaccine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to tetanus vaccine,CVX,35,"tetanus toxoid, adsorbed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to tetanus vaccine,CVX,142,"tetanus toxoid, not adsorbed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to tetanus vaccine,CVX,112,"tetanus toxoid, unspecified formulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to tetanus vaccine,SNOMEDCT,219084006,adverse reaction to tetanus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to tetanus vaccine,SNOMEDCT,293108006,Diphtheria and tetanus vaccine adverse reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to tetanus vaccine,SNOMEDCT,428000000000000,Anaphylaxis due to diphtheria and tetanus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to VZV Vaccine,CVX,36,varicella zoster immune globulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to VZV Vaccine,CVX,117,varicella zoster immune globulin (Investigational New Drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to VZV Vaccine,CVX,21,varicella virus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to VZV Vaccine,CVX,94,"measles, mumps, rubella, and varicella virus vaccine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,10875004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,10981006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,111485001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,1196001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,13313007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,13581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,13746004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,14495005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,1499003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,162004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,16295005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,16506000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,17782008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191618007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191620005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191621009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191623007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191627008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191629006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191630001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191632009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191634005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191636007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191638008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191639000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191641004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,191643001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,192362008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,19300006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,20960007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,21900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,22121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,22407005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,231444002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,26203008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,26530004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,28663008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,28884001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,29929003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,30520009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,30687003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,30935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,31446002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,33380008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,34315001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,3530005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,35481005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,35846004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,36583000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,371596008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,371599001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,371600003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,371604007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,38368003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,40926005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,41552001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,41832009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,41836007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,43568002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,43769008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,4441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,45479006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,46229002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,48937005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,49468007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,49512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,51637008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,53049002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,53607008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,54761006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,55516002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,5703000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,59617007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,61403008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,63249007,,,,,,198045,198046,198047,199888,199889,199890,205315,205316,250983,311975,312036,314119,317136,359817,359818,636671,636676,749289,749788,892244,896100,966531,993503,993518,993536,993541,993550,993557,993567,993681,998671,998675,998679
Bipolar diagnosis,SNOMEDCT,64731001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,65042007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,66631006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,68569003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,70546001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,71294008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,71984005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,73471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,74686005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,75360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar diagnosis,SNOMEDCT,75752004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
